Row,Fact Check Number,Fact Check Text
1,1,BOOM Bangladesh
2,1,NewsMobile
3,1,USA Today
4,1,Navbharat Times - Indiatimes
5,1,Vijaya Karnataka
6,1,Boom Live
8,1,مسبار
9,1,Maharashtra Times - Indiatimes
11,1,Amar Ujala
13,1,Samayam Tamil
16,1,Tagesschau
17,1,dpa-factchecking
21,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
22,1,NewsMeter
24,1,Kallxo.com
31,1,Factcheck.bg
32,1,India TV Hindi
33,1,OKO.press
35,1,Snopes
37,1,BOOM Fact Check
41,1,TeluguPost
50,1,Medical Dialogues
58,1,Teyit
59,1,AajTak Bangla
60,1,Samayam Telugu
68,1,The Quint
69,1,Samayam Malayalam
79,1,Maldita.es
80,1,EFE Verifica
88,1,Bolivia Verifica
89,1,Verificat
91,1,Проверено.Медиа
93,1,Ellinika Hoaxes
96,1,Pudhari
98,1,Вокс Україна
99,1,Logically Facts
100,1,Lead Stories
101,1,Faktograf
106,1,Mathrubhumi
112,1,vishvasnews.com
114,1,VERA Files
115,1,فتبينوا
116,1,Lighthouse Journalism
117,1,Check Your Fact
121,1,TF1 Info
122,1,Full Fact
129,1,Science Feedback
134,1,Newschecker
143,1,Aos Fatos
149,1,Голос Америки
154,1,Estadão
159,1,misbar.com
161,1,ThePrint
162,1,tempo.co
165,1,Bufale.net
171,1,WCNC
186,1,يوب يوب
191,1,Rappler
195,1,Ґвара Медіа
196,1,FACTLY
197,1,The France 24 Observers
200,1,Indiatoday Malayalam
3,1,DigitEye India
7,1,Animal Politico
9,1,UOL Notícias
11,1,PolitiFact
12,1,FactCheckHub
15,1,FactCheck.org
17,1,AFP Factual
19,1,VOA
20,1,KGW
20,2,KHOU
20,3,KSDK
22,1,Lokmat
23,1,Newtral
36,1,Esakal
37,1,10TV
37,3,KTVB
40,1,Alt News
42,1,Projeto Comprova
44,1,Вистиномер
74,1,AFP Checamos
79,1,BOL - UOL
81,1,Tempo.co
82,1,Newsweek
83,1,AFP Fact Check
87,1,PA Media
95,1,Voz de América
102,1,Dfrac
109,1,manoramaonline.com
120,1,VERIFYThis.com
124,1,ColombiaCheck
127,1,Lupa - UOL
130,1,Fact Crescendo Cambodia
132,2,WFAA
132,3,WKYC
141,3,KREM
160,1,India Today
168,1,全民查假會社
172,1,Efecto Cocuyo
180,1,فکت‌نامه
188,1,StopFake.org
190,1,StopFake
1,1,VOA Indonesia
10,1,AFP Fakty
11,1,Telugu Post
15,1,في ميزان فرانس برس
32,1,Tjekdet
44,1,FactReview
53,1,Fast Check 🔍
60,1,台灣媒體素養計畫 - 事實查核中心
62,1,mfcc.mn
70,1,Australian Associated Press
76,1,Verificado MX
78,1,Doğruluk Payı
91,1,Factuel AFP
92,1,VOA Thai
102,1,သတင်းအချက်အလက်စိစစ်မှု
103,1,المشاهد نت
105,1,Fasocheck
109,1,Factcheck Nederland
110,1,Cek Fakta Tempo - Tempo.co
119,1,Polígrafo - SAPO
120,1,Correctiv
121,1,annie lab
139,1,Greece Fact Check
178,1,فارق
4,1,AP News
4,1,Franceinfo
12,1,Factchequeado.com
16,1,Demagog
25,1,The Journal
27,1,Fact Crescendo Assamese
34,1,THIP Media
39,1,Ténykérdés
40,1,YouTurn
57,1,Observador
60,1,팩트체크
78,1,Fact Crescendo Sri Lanka
89,1,Quint Hindi
98,1,20 Minutes
140,1,El Debate
155,1,Snopes.com
177,1,La Silla Vacía
7,1,WGRZ
7,2,WQAD
7,3,KIII
16,1,AFP-Faktenchecks
19,1,Radio-Canada
7,1,오마이뉴스
11,1,台灣媒體素養計畫 - 台灣事實查核中心
27,1,ตรวจสอบข้อเท็จจริง
90,1,台灣媒體素養計畫
91,1,台灣事實查核中心
117,1,Periksa Fakta
127,1,Ghana Fact
199,1,10tv.com
199,2,WTSP.com
199,3,weareiowa.com
12,1,Semakan Fakta
24,1,Press Trust of India
47,1,पीटीआई
50,1,Factico
52,1,日本ファクトチェックセンター (JFC)
62,1,Du-Check
64,1,ελληνικό Fact Check
72,1,Provera činjenica
100,1,Provjera činjenica
10,1,Asianet News
29,1,أخبار ميتر
39,1,Aaj Tak
52,1,FoodFacts.org
66,1,Gigafact
95,1,ICIR Nigeria
173,1,afp verificat
193,1,Apotheken Umschau
38,1,ABC10
23,1,美國之音粵語網
27,1,CBS 19
28,1,Univision
29,1,Factchecker
37,1,Agência Pública
39,1,Boatos.org
55,1,MyGoPen
70,1,Istinomer
76,1,Радио Свобода
84,1,Ballotpedia
109,1,Chequeado
117,1,FactCheckNI
173,1,The New York Times
45,1,גלובס
58,1,Wypowiedzi - weryfikujemy słowa polityków i osób publicznych
114,1,美国之音
128,1,Nieuwscheckers
141,1,BOOM
188,1,Le Monde
