Row,Fact Check Number,Fact Check Text
1,1,BOL - UOL
2,1,AFP Fact Check
3,1,AFP Fact Check
4,1,AFP Fact Check
5,1,dpa-factchecking
6,1,VERA Files
7,1,오마이뉴스
8,1,AFP Factual
9,1,VERA Files
10,1,Factcheck Nederland
11,1,台灣媒體素養計畫 - 台灣事實查核中心
12,1,Teyit
13,1,StopFake
14,1,AFP Fact Check
15,1,Newschecker
16,1,AFP Fact Check
17,1,AFP Fact Check
18,1,Vijaya Karnataka
19,1,AFP Fact Check
20,1,AFP Fact Check
21,1,AFP Fact Check
22,1,Fact Crescendo Cambodia
23,1,Full Fact
24,1,NewsMobile
25,1,AFP Fact Check
26,1,သတင်းအချက်အလက်စိစစ်မှု
27,1,ตรวจสอบข้อเท็จจริง
28,1,ตรวจสอบข้อเท็จจริง
29,1,AFP Fact Check
30,1,Ellinika Hoaxes
31,1,သတင်းအချက်အလက်စိစစ်မှု
32,1,Animal Politico
33,1,Australian Associated Press
34,1,Vijaya Karnataka
35,1,Amar Ujala
36,1,Teyit
37,1,USA Today
38,1,مسبار
39,1,Cek Fakta Tempo - Tempo.co
40,1,Tempo.co
41,1,misbar.com
42,1,팩트체크
43,1,Navbharat Times - Indiatimes
44,1,AFP Fact Check
45,1,USA Today
46,1,FACTLY
47,1,Teyit
48,1,dpa-factchecking
49,1,misbar.com
50,1,全民查假會社
51,1,Teyit
52,1,AFP Fact Check
53,1,مسبار
54,1,AFP Fact Check
55,1,Full Fact
56,1,ตรวจสอบข้อเท็จจริง
57,1,Amar Ujala
58,1,Newtral
59,1,Lead Stories
60,1,台灣媒體素養計畫 - 台灣事實查核中心
61,1,Newtral
62,1,dpa-factchecking
63,1,Teyit
64,1,FACTLY
65,1,台灣媒體素養計畫 - 台灣事實查核中心
66,1,مسبار
67,1,Snopes
68,1,مسبار
69,1,팩트체크
70,1,AFP Fact Check
71,1,AFP Fact Check
72,1,AFP Fact Check
73,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
74,1,FACTLY
75,1,AFP Fact Check
76,1,AFP Fact Check
77,1,台灣媒體素養計畫 - 台灣事實查核中心
78,1,India Today
79,1,AFP Fact Check
80,1,AFP Fact Check
81,1,AFP Fact Check
82,1,Rappler
83,1,AFP Fact Check
84,1,AFP Fact Check
85,1,Navbharat Times - Indiatimes
86,1,VERIFYThis.com
87,1,오마이뉴스
88,1,Lead Stories
89,1,팩트체크
90,1,台灣媒體素養計畫
91,1,台灣事實查核中心
92,1,AFP Fact Check
93,1,AFP Fact Check
94,1,AFP Fact Check
95,1,台灣媒體素養計畫
96,1,台灣媒體素養計畫 - 事實查核中心
97,1,全民查假會社
98,1,FactCheck.org
99,1,팩트체크
100,1,AFP Fact Check
101,1,AFP Fact Check
102,1,AFP Fact Check
103,1,AFP Fact Check
104,1,AFP Fact Check
105,1,AFP Fact Check
106,1,AFP Fact Check
107,1,AFP Fact Check
108,1,Ellinika Hoaxes
109,1,팩트체크
110,1,VOA
111,1,AFP Fact Check
112,1,AFP Fact Check
113,1,AFP Fact Check
114,1,Snopes.com
115,1,AFP Fact Check
116,1,AFP Fact Check
117,1,Periksa Fakta
118,1,AFP Fact Check
119,1,AFP Fact Check
120,1,AFP Fact Check
1,1,BOL - UOL
2,1,AFP Fact Check
3,1,AFP Fact Check
4,1,AFP Fact Check
5,1,dpa-factchecking
6,1,VERA Files
7,1,오마이뉴스
8,1,AFP Factual
9,1,VERA Files
10,1,Factcheck Nederland
11,1,台灣媒體素養計畫 - 台灣事實查核中心
12,1,Teyit
13,1,StopFake
14,1,AFP Fact Check
15,1,Newschecker
16,1,AFP Fact Check
17,1,AFP Fact Check
18,1,Vijaya Karnataka
19,1,AFP Fact Check
20,1,AFP Fact Check
21,1,AFP Fact Check
22,1,Fact Crescendo Cambodia
23,1,Full Fact
24,1,NewsMobile
25,1,AFP Fact Check
26,1,သတင်းအချက်အလက်စိစစ်မှု
27,1,ตรวจสอบข้อเท็จจริง
28,1,ตรวจสอบข้อเท็จจริง
29,1,AFP Fact Check
30,1,Ellinika Hoaxes
31,1,သတင်းအချက်အလက်စိစစ်မှု
32,1,Animal Politico
33,1,Australian Associated Press
34,1,Vijaya Karnataka
35,1,Amar Ujala
36,1,Teyit
37,1,USA Today
38,1,مسبار
39,1,Cek Fakta Tempo - Tempo.co
40,1,Tempo.co
41,1,misbar.com
42,1,팩트체크
43,1,Navbharat Times - Indiatimes
44,1,AFP Fact Check
45,1,USA Today
46,1,FACTLY
47,1,Teyit
48,1,dpa-factchecking
49,1,misbar.com
50,1,全民查假會社
51,1,Teyit
52,1,AFP Fact Check
53,1,مسبار
54,1,AFP Fact Check
55,1,Full Fact
56,1,ตรวจสอบข้อเท็จจริง
57,1,Amar Ujala
58,1,Newtral
59,1,Lead Stories
