Row,Fact Check Number,Fact Check Text
1,1,Samayam Malayalam
2,1,مسبار
3,1,Navbharat Times - Indiatimes
4,1,THIP Media
5,1,Snopes
6,1,Newtral
7,1,Samayam Telugu
8,1,Samayam Tamil
9,1,Samayam Malayalam
10,1,Asianet News
11,1,مسبار
12,1,Bufale.net
13,1,Samayam Malayalam
14,1,Greece Fact Check
15,1,Samayam Telugu
16,1,Navbharat Times - Indiatimes
17,1,Maharashtra Times - Indiatimes
18,1,DigitEye India
19,1,Samayam Telugu
20,1,Maharashtra Times - Indiatimes
1,1,Samayam Malayalam
2,1,مسبار
3,1,Navbharat Times - Indiatimes
4,1,THIP Media
5,1,Snopes
6,1,Newtral
7,1,Samayam Telugu
8,1,Samayam Tamil
9,1,Samayam Malayalam
10,1,Asianet News
11,1,مسبار
12,1,Bufale.net
13,1,Samayam Malayalam
14,1,Greece Fact Check
15,1,Samayam Telugu
16,1,Navbharat Times - Indiatimes
17,1,Maharashtra Times - Indiatimes
18,1,DigitEye India
19,1,Samayam Telugu
20,1,Maharashtra Times - Indiatimes
21,1,Samayam Malayalam
22,1,Samayam Telugu
23,1,India TV Hindi
24,1,Navbharat Times - Indiatimes
25,1,مسبار
26,1,مسبار
27,1,Maharashtra Times - Indiatimes
28,1,Samayam Malayalam
29,1,أخبار ميتر
30,1,Bufale.net
31,1,NewsMobile
32,1,Samayam Telugu
33,1,Samayam Tamil
34,1,Samayam Tamil
35,1,Navbharat Times - Indiatimes
36,1,Проверено.Медиа
37,1,DigitEye India
38,1,Samayam Telugu
39,1,Aaj Tak
40,1,Maharashtra Times - Indiatimes
1,1,Samayam Malayalam
2,1,مسبار
3,1,Navbharat Times - Indiatimes
4,1,THIP Media
5,1,Snopes
6,1,Newtral
7,1,Samayam Telugu
8,1,Samayam Tamil
9,1,Samayam Malayalam
10,1,Asianet News
11,1,مسبار
12,1,Bufale.net
13,1,Samayam Malayalam
14,1,Greece Fact Check
15,1,Samayam Telugu
16,1,Navbharat Times - Indiatimes
17,1,Maharashtra Times - Indiatimes
18,1,DigitEye India
19,1,Samayam Telugu
20,1,Maharashtra Times - Indiatimes
21,1,Samayam Malayalam
22,1,Samayam Telugu
23,1,India TV Hindi
24,1,Navbharat Times - Indiatimes
25,1,مسبار
26,1,مسبار
27,1,Maharashtra Times - Indiatimes
28,1,Samayam Malayalam
29,1,أخبار ميتر
30,1,Bufale.net
31,1,NewsMobile
32,1,Samayam Telugu
33,1,Samayam Tamil
34,1,Samayam Tamil
35,1,Navbharat Times - Indiatimes
36,1,Проверено.Медиа
37,1,DigitEye India
38,1,Samayam Telugu
39,1,Aaj Tak
40,1,Maharashtra Times - Indiatimes
41,1,Maldita.es
41,2,Newtral
42,1,Alt News
43,1,Factcheck.bg
44,1,Maldita.es
45,1,Maldita.es
45,2,Maldita.es
46,1,Navbharat Times - Indiatimes
47,1,Vijaya Karnataka
48,1,THIP Media
49,1,مسبار
50,1,Newschecker
51,1,Aaj Tak
52,1,FoodFacts.org
53,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
54,1,misbar.com
55,1,NewsMeter
56,1,Newschecker
57,1,Kallxo.com
58,1,Alt News
59,1,Tempo.co
60,1,Kallxo.com
61,1,Amar Ujala
62,1,Telugu Post
63,1,Maharashtra Times - Indiatimes
64,1,Samayam Tamil
65,1,مسبار
66,1,Gigafact
67,1,Samayam Tamil
68,1,misbar.com
69,1,vishvasnews.com
70,1,Newschecker
71,1,Samayam Malayalam
72,1,The Quint
