Row,Fact Check Number,Fact Check Text
1,1,BOOM Bangladesh
2,1,NewsMobile
3,1,USA Today
4,1,Navbharat Times - Indiatimes
5,1,Vijaya Karnataka
6,1,Boom Live
7,1,BOOM Bangladesh
8,1,مسبار
9,1,Maharashtra Times - Indiatimes
10,1,Navbharat Times - Indiatimes
11,1,Amar Ujala
12,1,BOOM Bangladesh
13,1,Samayam Tamil
14,1,Navbharat Times - Indiatimes
15,1,Vijaya Karnataka
16,1,Tagesschau
17,1,dpa-factchecking
18,1,Boom Live
19,1,Vijaya Karnataka
20,1,Maharashtra Times - Indiatimes
21,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
22,1,NewsMeter
23,1,BOOM Bangladesh
24,1,Kallxo.com
25,1,BOOM Bangladesh
26,1,NewsMobile
27,1,Navbharat Times - Indiatimes
28,1,USA Today
29,1,Kallxo.com
30,1,Kallxo.com
31,1,Factcheck.bg
32,1,India TV Hindi
33,1,OKO.press
34,1,Maharashtra Times - Indiatimes
35,1,Snopes
36,1,dpa-factchecking
37,1,BOOM Fact Check
38,1,BOOM Bangladesh
39,1,مسبار
40,1,Samayam Tamil
41,1,TeluguPost
42,1,NewsMobile
43,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
44,1,Boom Live
45,1,مسبار
46,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
47,1,مسبار
48,1,NewsMeter
49,1,USA Today
50,1,Medical Dialogues
51,1,NewsMeter
52,1,NewsMeter
53,1,BOOM Bangladesh
54,1,Amar Ujala
55,1,مسبار
56,1,BOOM Bangladesh
57,1,Navbharat Times - Indiatimes
58,1,Teyit
59,1,AajTak Bangla
60,1,Samayam Telugu
61,1,Navbharat Times - Indiatimes
62,1,USA Today
63,1,NewsMobile
64,1,Samayam Telugu
65,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
66,1,Samayam Telugu
67,1,Samayam Telugu
68,1,The Quint
69,1,Samayam Malayalam
70,1,Maharashtra Times - Indiatimes
71,1,Samayam Tamil
72,1,Medical Dialogues
73,1,مسبار
74,1,Maharashtra Times - Indiatimes
75,1,dpa-factchecking
76,1,Navbharat Times - Indiatimes
77,1,Snopes
78,1,BOOM Bangladesh
79,1,Maldita.es
80,1,EFE Verifica
81,1,Maldita.es
82,1,Maldita.es
83,1,Maldita.es
84,1,Maldita.es
85,1,Maldita.es
86,1,Maldita.es
87,1,Maldita.es
88,1,Bolivia Verifica
89,1,Verificat
90,1,Medical Dialogues
91,1,Проверено.Медиа
92,1,Navbharat Times - Indiatimes
93,1,Ellinika Hoaxes
94,1,Teyit
95,1,Samayam Malayalam
96,1,Pudhari
97,1,Boom Live
98,1,Вокс Україна
99,1,Logically Facts
100,1,Lead Stories
101,1,Faktograf
102,1,Samayam Tamil
103,1,The Quint
104,1,Snopes
105,1,Logically Facts
106,1,Mathrubhumi
107,1,Boom Live
108,1,BOOM Bangladesh
109,1,dpa-factchecking
110,1,BOOM Bangladesh
111,1,Snopes
112,1,vishvasnews.com
113,1,Logically Facts
114,1,VERA Files
115,1,فتبينوا
116,1,Lighthouse Journalism
117,1,Check Your Fact
118,1,TeluguPost
119,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
120,1,Вокс Україна
121,1,TF1 Info
122,1,Full Fact
123,1,Kallxo.com
124,1,فتبينوا
125,1,Mathrubhumi
126,1,Вокс Україна
127,1,USA Today
128,1,Samayam Malayalam
129,1,Science Feedback
130,1,فتبينوا
131,1,NewsMobile
132,1,مسبار
133,1,Full Fact
134,1,Newschecker
135,1,Maharashtra Times - Indiatimes
136,1,Amar Ujala
137,1,Lead Stories
138,1,USA Today
139,1,The Quint
140,1,The Quint
141,1,TeluguPost
142,1,BOOM Bangladesh
143,1,Aos Fatos
144,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
145,1,Вокс Україна
146,1,Samayam Telugu
147,1,Vijaya Karnataka
148,1,Boom Live
149,1,Голос Америки
150,1,Samayam Telugu
151,1,BOOM Bangladesh
152,1,Вокс Україна
153,1,Samayam Tamil
154,1,Estadão
155,1,Lead Stories
156,1,BOOM Bangladesh
157,1,فتبينوا
158,1,BOOM Bangladesh
159,1,misbar.com
160,1,Вокс Україна
161,1,ThePrint
162,1,tempo.co
163,1,Newschecker
164,1,vishvasnews.com
165,1,Bufale.net
166,1,India TV Hindi
167,1,Lead Stories
168,1,Factcheck.bg
169,1,misbar.com
170,1,Navbharat Times - Indiatimes
171,1,WCNC
172,1,Newschecker
173,1,Ellinika Hoaxes
174,1,مسبار
175,1,VERA Files
176,1,فتبينوا
177,1,Lead Stories
178,1,Вокс Україна
179,1,Check Your Fact
180,1,Snopes
181,1,Kallxo.com
182,1,Kallxo.com
183,1,misbar.com
184,1,Newschecker
185,1,Вокс Україна
186,1,يوب يوب
187,1,Navbharat Times - Indiatimes
188,1,VERA Files
189,1,Newschecker
190,1,Bufale.net
191,1,Rappler
192,1,Вокс Україна
193,1,Newschecker
194,1,Вокс Україна
195,1,Ґвара Медіа
196,1,FACTLY
197,1,The France 24 Observers
198,1,Samayam Tamil
199,1,Lead Stories
200,1,Indiatoday Malayalam
