Row,Fact Check Number,Fact Check Text
1,1,The Quint
2,1,The Quint
3,1,TF1 Info
4,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
5,1,dpa-factchecking
6,1,Samayam Tamil
7,1,Tempo.co
8,1,AajTak Bangla
9,1,Vijaya Karnataka
10,1,Samayam Malayalam
11,1,VERA Files
12,1,Medical Dialogues
13,1,vishvasnews.com
14,1,Samayam Telugu
15,1,telugupost
16,1,Tempo.co
17,1,Lokmat
18,1,Teyit
19,1,Faktograf
20,1,Navbharat Times - Indiatimes
21,1,Rappler
22,1,Newschecker
23,1,Maharashtra Times - Indiatimes
24,1,오마이뉴스
25,1,AajTak Bangla
26,1,vishvasnews.com
27,1,Navbharat Times - Indiatimes
28,1,Newschecker
29,1,Tempo.co
30,1,telugupost
31,1,Samayam Tamil
32,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
33,1,Logically Facts
34,1,فتبينوا
35,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
36,1,BOOM
37,1,BOOM Fact Check
38,1,Samayam Tamil
39,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
40,1,Vijaya Karnataka
41,1,Franceinfo
42,1,vishvasnews.com
43,1,vishvasnews.com
44,1,مسبار
45,1,Newschecker
46,1,Navbharat Times - Indiatimes
47,1,Samayam Malayalam
48,1,Lead Stories
49,1,Lead Stories
50,1,Samayam Malayalam
51,1,Africa Check
52,1,Africa Check
53,1,Africa Check
54,1,Africa Check
55,1,Africa Check
56,1,VERA Files
57,1,NewsMobile
58,1,NewsMobile
59,1,Maldita.es
60,1,Maldita.es
61,1,NewsMobile
62,1,Maldita.es
63,1,Maldita.es
64,1,Bolivia Verifica
65,1,Africa Check
66,1,Africa Check
67,1,Africa Check
68,1,Bolivia Verifica
69,1,Verificat
70,1,USA Today
71,1,FactCheck.org
72,1,Newschecker
73,1,The Quint
74,1,vishvasnews.com
75,1,Lead Stories
76,1,vishvasnews.com
77,1,Faktograf
78,1,The Quint
79,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
80,1,Factchequeado.com
81,1,Snopes
82,1,PolitiFact
83,1,Boom Live
84,1,Logically Facts
85,1,USA Today
86,1,Aos Fatos
87,1,Tempo.co
88,1,Vijaya Karnataka
89,1,BOL - UOL
90,1,USA Today
91,1,Boom Live
92,1,Newschecker
93,1,Amar Ujala
94,1,Aaj Tak
95,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
96,1,telugupost
97,1,Logically Facts
98,1,Verificat
99,1,Snopes
100,1,Doğruluk Payı
101,1,Samayam Telugu
102,1,The Quint
103,1,dpa-factchecking
104,1,Indiatoday Malayalam
105,1,مسبار
106,1,Tempo.co
107,1,مسبار
108,1,Agência Lupa - UOL
109,1,vishvasnews.com
110,1,Demagog
111,1,Estadão
112,1,BOL - UOL
113,1,Demagog
114,1,Samayam Tamil
115,1,Aaj Tak
116,1,Samayam Tamil
117,1,misbar.com
118,1,Maharashtra Times - Indiatimes
119,1,Ґвара Медіа
120,1,Rappler
121,1,ColombiaCheck
122,1,Vijaya Karnataka
123,1,فتبينوا
124,1,Logically Facts
125,1,Agência Lupa - UOL
126,1,Amar Ujala
127,1,Doğruluk Payı
128,1,Agência Lupa - UOL
129,1,Вистиномер
130,1,Samayam Malayalam
131,1,Faktograf
132,1,Samayam Tamil
133,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
134,1,FactCheck.org
135,1,Demagog
136,1,Boom Live
137,1,Factcheck.bg
138,1,Newtral
139,1,Newtral
140,1,Lead Stories
141,1,مسبار
142,1,USA Today
143,1,Lead Stories
144,1,Science Feedback
145,1,Verificado MX
146,1,Check Your Fact
147,1,Demagog
148,1,Ellinika Hoaxes
149,1,vishvasnews.com
150,1,Doğruluk Payı
151,1,India Today
152,1,dpa-factchecking
153,1,Agência Lupa - UOL
154,1,Bufale.net
155,1,Newschecker
156,1,Aos Fatos
157,1,Snopes
158,1,Agência Lupa - UOL
159,1,Navbharat Times - Indiatimes
160,1,Chequeado
161,1,Lead Stories
162,1,Navbharat Times - Indiatimes
163,1,Newschecker
164,1,Projeto Comprova
165,1,Samayam Telugu
166,1,Logically Facts
167,1,Alt News
168,1,Fact Crescendo Cambodia
169,1,NewsMeter
170,1,Ellinika Hoaxes
171,1,FactCheckHub
172,1,Indiatoday Malayalam
173,1,Newtral
174,1,UOL Notícias
175,1,Aos Fatos
176,1,Newtral
177,1,Demagog
178,1,Samayam Malayalam
179,1,Estadão
180,1,Samayam Malayalam
181,1,Snopes
182,1,Samayam Telugu
183,1,Logically Facts
184,1,Ellinika Hoaxes
185,1,Navbharat Times - Indiatimes
186,1,Science Feedback
187,1,FactCheck.org
188,1,Rappler
189,1,AajTak Bangla
190,1,विश्वास न्यूज़ फैक्ट चेक हिंदी
191,1,NewsMeter
192,1,Teyit
193,1,vishvasnews.com
194,1,NewsMeter
195,1,Check Your Fact
196,1,Проверено.Медиа
197,1,FactCheck.org
198,1,Aos Fatos
199,1,Navbharat Times - Indiatimes
200,1,telugupost
